vehicle_make,vehicle_model,vehicle_mileage,vehicle_wheel,vehicle_type,vehicle_cylinder,vehicle_year,vehicle_fuel,vehicle_spec,vehicle_dealer,vehicle_price
Hyundai,Veloster,47000,16,Hatchback,4,2020,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,53000
Ford,Explorer,9600,17,SUV/Crossover,4,2020,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,96000
Kia,Optima,100000,17,Sedan,4,2018,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,45000
BMW,X3,48000,20,SUV/Crossover,4,2021,Hybrid,Import,Al Safwa Used Car Trading,153000
Chevrolet,Camaro,67000,20,Convertible,4,2019,Gasoline,Import,Iqra Used Cars TR. EXHB. LLC,72000
Lexus,ES 350,500000,18,Sedan,6,2017,Gasoline,GCC,wahat al sharjah,44500
Nissan,Altima,500000,18,Sedan,4,2017,Gasoline,GCC,wahat al sharjah,15500
Toyota,Camry,500000,18,Sedan,4,2018,Gasoline,GCC,wahat al sharjah,29000
Mercedes-Benz,V 250,113795,19,Van,4,2020,Gasoline,GCC,VLINE DESIGN LLC,250000
Mercedes-Benz,E 300,161000,20,Sedan,4,2017,Gasoline,GCC,Milan Motors LLC,130000
Land Rover,Range Rover Sport Supercharged,125000,21,SUV/Crossover,8,2019,Gasoline,GCC,Milan Motors LLC,279000
Jeep,Wrangler,7300,20,SUV/Crossover,4,2023,Electric,Import,Milan Motors LLC,180000
Infiniti,Q30,19500,19,Hatchback,4,2019,Gasoline,GCC,Milan Motors LLC,88000
Mini,Cooper S,7100,18,Hatchback,4,2023,Gasoline,GCC,Milan Motors LLC,162000
Mercedes-Benz,S 560 Coupe,56000,20,Convertible,6,2020,Gasoline,GCC,Purple - Gargash Motors,450000
Ford,Mustang,115000,19,Coupe,8,2017,Gasoline,GCC,Alba Cars,109999
Land Rover,Range Rover Sport HSE,45000,22,SUV/Crossover,6,2019,Gasoline,Import,Apex Platinum,185000
BMW,530,108000,19,Sedan,4,2017,Gasoline,GCC,RMA Used Cars L.L.C,129000
Audi,A8,109000,18,Sedan,8,2019,Gasoline,GCC,RMA Used Cars L.L.C,225000
Mercedes-Benz,G 63 AMG,87368,22,SUV/Crossover,8,2020,Gasoline,GCC,FALCONS GT MOTORS,650000
Tesla,S,3667,21,Hatchback,None - Electric,2023,Electric,GCC,CV Auto,499000
Mercedes-Benz,G 500,66000,20,SUV/Crossover,8,2020,Gasoline,Import,S Line Motors LLC,495000
BMW,iX,19000,21,SUV/Crossover,None - Electric,2023,Electric,Import,S Line Motors LLC,305000
Tesla,model-3,63000,20,Sedan,None - Electric,2022,Electric,Import,S Line Motors LLC,188000
BMW,740,17404,21,Sedan,6,2021,Gasoline,GCC,IQ Auto Used Automobile Trading LLC,329000
Land Rover,Range Rover Autobiography,43452,22,SUV/Crossover,8,2019,Gasoline,Import,IQ Auto Used Automobile Trading LLC,349000
Jeep,Wrangler,72000,17,SUV/Crossover,6,2017,Gasoline,GCC,Designo Car trading L.L.C,89500
Hyundai,Creta,54533,16,SUV/Crossover,4,2020,Gasoline,GCC,Swaidan Motors,64900
Hyundai,Sonata,61533,16,Sedan,4,2020,Gasoline,GCC,Swaidan Motors,69900
Peugeot,3008,19350,18,SUV/Crossover,4,2023,Hybrid,GCC,Swaidan Motors,169900
Hyundai,Tucson,93574,17,SUV/Crossover,4,2020,Gasoline,GCC,Swaidan Motors,69900
Toyota,Camry,70978,16,Sedan,4,2018,Gasoline,GCC,Swaidan Motors,69900
Mitsubishi,ASX,113479,16,SUV/Crossover,4,2020,Gasoline,GCC,Swaidan Motors,56900
Nissan,Urvan,134232,15,Van,4,2021,Gasoline,GCC,Swaidan Motors,54900
Mitsubishi,ASX,53777,16,SUV/Crossover,4,2020,Gasoline,GCC,Swaidan Motors,61900
Chevrolet,Captiva,41766,17,SUV/Crossover,4,2021,Gasoline,GCC,CARS24,63799
Toyota,Land Cruiser,14000,20,SUV/Crossover,6,2022,Gasoline,GCC,HT Ejaz Hussain Manzoor Hussain,347000
Mercedes-Benz,C 200,15000,18,Sedan,4,2022,Gasoline,Import,Evo Motors FZE,229900
Honda,Civic,52287,17,Sedan,4,2020,Gasoline,GCC,CARS24,83199
Mini,Cooper Countryman,62685,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,112899
Mitsubishi,ASX,40735,17,SUV/Crossover,4,2021,Gasoline,GCC,CARS24,66999
Mercedes-Benz,G 63 AMG,78000,22,SUV/Crossover,8,2019,Gasoline,GCC,Al Salama Motors,599000
Nissan,Patrol,172000,20,SUV/Crossover,8,2017,Gasoline,GCC,Al Faeq Used Cars,115000
Honda,Civic,152000,16,Sedan,4,2018,Gasoline,GCC,Perfect Automobiles Trading L.L.C,62500
Mercedes-Benz,V 250,37864,19,Van,4,2022,Gasoline,GCC,IQ Auto Used Automobile Trading LLC,320000
Mitsubishi,Pajero,60626,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,79899
Toyota,Camry,95839,17,Sedan,4,2019,Gasoline,GCC,CARS24,94899
Hyundai,Accent,54000,14,Sedan,4,2021,Gasoline,GCC,Oasis Cars,52000
Ford,F 150,82500,17,Pick Up Truck,6,2018,Gasoline,GCC,Oasis Cars,199000
Dodge,Durango,45500,18,SUV/Crossover,6,2019,Gasoline,GCC,Oasis Cars,119000
Chevrolet,Captiva,12500,17,SUV/Crossover,5,2022,Gasoline,GCC,Oasis Cars,77000
Genesis,G90,44000,18,Sedan,6,2020,Gasoline,GCC,Oasis Cars,225000
Land Rover,Range Rover Sport,65000,22,SUV/Crossover,8,2017,Gasoline,GCC,Alba Cars,209999
Dodge,Challenger,22400,20,Coupe,6,2020,Gasoline,Import,Kandy Cars,79000
Chevrolet,Camaro,59000,20,Coupe,4,2019,Gasoline,Import,Kandy Cars,70000
Ford,Mustang,11100,20,Coupe,4,2021,Gasoline,Import,Kandy Cars,85000
Ford,Mustang,74500,20,Coupe,4,2020,Gasoline,Import,Kandy Cars,82000
Rolls-Royce,Wraith,15069,21,Coupe,12,2021,Gasoline,Import,CV Auto,1329000
Rolls-Royce,Wraith,10635,21,Coupe,12,2021,Gasoline,GCC,CV Auto,1699000
Volkswagen,Passat,60266,16,Sedan,4,2020,Gasoline,GCC,NXT Luxury Showroom,80000
Mitsubishi,Attrage,65591,15,Sedan,3,2019,Gasoline,GCC,NXT Luxury Showroom,35000
Audi,S3,130000,18,Sedan,4,2017,Gasoline,GCC,Ahmad Al Khodari Used Cars Exhb L.L.C,89000
Nissan,X-Trail,89287,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,75899
Mitsubishi,Pajero,84730,17,SUV/Crossover,6,2018,Gasoline,GCC,CARS24,83999
Mazda,CX-5,69257,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,97499
Renault,Duster,88738,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,49799
Hyundai,Accent,73957,16,Sedan,4,2020,Gasoline,GCC,NXT Luxury Showroom,45000
Toyota,Yaris,81133,17,Sedan,4,2019,Gasoline,GCC,CARS24,48399
Toyota,Prado,80962,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,147099
BMW,318,79054,17,Sedan,3,2018,Gasoline,GCC,CARS24,87299
Hyundai,Kona,24800,17,SUV/Crossover,4,2020,Gasoline,Import,Asan Motors,45000
Kia,Sportage,23000,18,SUV/Crossover,4,2020,Gasoline,Import,Asan Motors,59000
Kia,Telluride,42000,20,SUV/Crossover,6,2021,Gasoline,Import,Asan Motors,109000
Jeep,Wrangler,2000,17,SUV/Crossover,6,2022,Gasoline,Import,Asan Motors,109000
Mercedes-Benz,CLA 250,21000,18,Sedan,4,2021,Gasoline,Import,Asan Motors,138000
Renault,Symbol,57031,17,Sedan,4,2019,Gasoline,GCC,CARS24,27999
Mercedes-Benz,G 63 AMG,70700,22,SUV/Crossover,8,2020,Gasoline,GCC,CV Auto,689000
Kia,Cerato,86872,17,Sedan,4,2018,Gasoline,GCC,CARS24,51699
Ford,F 150,80164,18,Pick Up Truck,8,2021,Gasoline,GCC,AutoHub Plus,141000
Nissan,Pathfinder,48073,17,SUV/Crossover,6,2022,Gasoline,GCC,AutoHub Plus,199000
Mitsubishi,ASX,89000,18,SUV/Crossover,4,2021,Gasoline,GCC,Al Mansoura Used Cars Trading L.L.C,68000
Mitsubishi,ASX,137000,17,SUV/Crossover,4,2017,Gasoline,GCC,Al Mansoura Used Cars Trading L.L.C,48000
Ford,Mustang,54000,17,Coupe,4,2020,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,85000
Dodge,Charger,73000,17,Sedan,6,2019,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,75000
Rolls-Royce,Cullinan,80000,22,SUV/Crossover,12,2019,Gasoline,GCC,Emperor Used Cars,1077000
Lexus,RX 350,42000,18,SUV/Crossover,6,2018,Gasoline,Import,Al Awtar used cars TR LLC,120000
Mercedes-Benz,S 560,59000,20,Sedan,8,2018,Gasoline,Import,Al Awtar used cars TR LLC,235000
Kia,K5,94722,17,Sedan,4,2021,Gasoline,GCC,CARS24,79999
Renault,Duster,86338,17,SUV/Crossover,4,2017,Gasoline,GCC,CARS24,35999
Nissan,Maxima,58184,17,Sedan,6,2020,Gasoline,GCC,CARS24,96599
Mazda,CX-3,75276,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,72199
Kia,Rio,73115,17,Sedan,4,2019,Gasoline,GCC,CARS24,48499
Renault,Duster,50707,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,55299
Chevrolet,Traverse,69000,20,SUV/Crossover,6,2019,Gasoline,GCC,Oasis Cars,89000
Tesla,X,61000,18,SUV/Crossover,None - Electric,2019,Electric,GCC,Oasis Cars,329000
Porsche,911 GT3,5845,20,Coupe,6,2022,Gasoline,GCC,Nova Luxury Cars Trading LLC,920000
Mitsubishi,Pajero,86331,17,SUV/Crossover,6,2018,Gasoline,GCC,S.K Motors FZCO,58500
Nissan,X-Trail,62000,17,SUV/Crossover,4,2020,Gasoline,GCC,Al Mansoura Used Cars Trading L.L.C,76000
Kia,Forte,65000,16,Sedan,4,2019,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,48000
Maserati,Ghibli,4000,21,Sedan,6,2022,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,205000
Genesis,G80,22000,19,Sedan,4,2021,Gasoline,Import,Asan Motors,134000
Genesis,G90,108000,18,Sedan,6,2017,Gasoline,Import,Asan Motors,59000
Ford,Mustang,126000,20,Coupe,4,2019,Gasoline,Import,Kandy Cars,72000
Honda,Civic,98000,17,Sedan,4,2020,Gasoline,GCC,Perfect Automobiles Trading L.L.C,73500
Toyota,Corolla,54342,17,Sedan,4,2020,Gasoline,GCC,CARS24,72699
Mitsubishi,ASX,30572,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,62099
Land Rover,Range Rover Vogue,57118,21,SUV/Crossover,6,2020,Gasoline,GCC,CV Auto,329000
Land Rover,Defender,102,22,SUV/Crossover,6,2023,Gasoline,GCC,CV Auto,575000
Toyota,Prado,10000,20,SUV/Crossover,6,2022,Gasoline,GCC,Haq International Motors FZCO,155000
Lexus,ES 300,23000,17,Sedan,4,2022,Hybrid,GCC,Apex Platinum,160000
Mercedes-Benz,E 300,47400,19,Convertible,4,2020,Gasoline,Import,Wahat Al Sharq,160000
Jaguar,F-Pace,5096,22,SUV/Crossover,8,2021,Gasoline,Import,Story Auto Middle East FZE,299000
Nissan,Patrol Safari,84000,16,SUV/Crossover,6,2019,Gasoline,GCC,Al Faeq Used Cars,100000
Ford,Bronco,808,17,SUV/Crossover,6,2021,Gasoline,GCC,IQ Auto Used Automobile Trading LLC,259000
Chevrolet,Tahoe,45633,20,SUV/Crossover,8,2021,Gasoline,GCC,IQ Auto Used Automobile Trading LLC,217000
Porsche,Cayenne GTS,2000,22,SUV/Crossover,8,2023,Gasoline,GCC,Alba Cars,569999
Mercedes-Benz,AMG GT,1800,20,Coupe,8,2021,Gasoline,Import,Nova Luxury Cars Trading LLC,1890000
Subaru,Impreza WRX,16600,19,Sedan,4,2021,Gasoline,GCC,RMA Used Cars L.L.C,229000
Nissan,Altima,44000,19,Sedan,4,2020,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,68000
Land Rover,Range Rover Vogue SE Supercharged,81000,21,SUV/Crossover,8,2018,Gasoline,GCC,Al Salama Motors,298000
BMW,530,4520,19,Sedan,4,2021,Hybrid,Import,Wahat Al Sharq,180000
BMW,530,44300,18,Sedan,4,2019,Gasoline,Import,Wahat Al Sharq,135000
Mercedes-Benz,E 300,78000,20,Sedan,4,2018,Gasoline,Import,Wahat Al Sharq,130000
Land Rover,Defender,1781,22,SUV/Crossover,6,2021,Diesel,Import,Stoub Biz Motors,368000
Rolls-Royce,Phantom,4200,20,Convertible,12,2017,Gasoline,GCC,Pearl Motors Luxury Automobiles Trading LLC,1999999
Dodge,Charger,20530,20,Sedan,6,2022,Gasoline,Import,Kandy Cars,89000
Dodge,Charger,20530,20,Sedan,6,2022,Gasoline,Import,Kandy Cars,89000
Hyundai,Elantra,9239,16,Sedan,4,2022,Gasoline,Import,S.K Motors FZCO,49500
GMC,Sierra,15500,18,Pick Up Truck,8,2022,Gasoline,GCC,RMA Used Cars L.L.C,179000
Nissan,Kicks,21000,17,SUV/Crossover,4,2021,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,65000
Jeep,Wrangler,67000,17,SUV/Crossover,6,2020,Gasoline,Import,Pegasus Automobile FZE,155000
Maserati,Levante,40000,19,SUV/Crossover,6,2020,Gasoline,GCC,Alba Cars,249999
Jaguar,F-Type,5000,20,Coupe,6,2021,Gasoline,Import,Alba Cars,239999
Mercedes-Benz,EQS 580,18876,21,Sedan,None - Electric,2022,Electric,GCC,CV Auto,479000
BMW,530,83315,19,Sedan,4,2018,Gasoline,Import,New Cars,133000
BMW,530,7100,19,Sedan,4,2019,Gasoline,GCC,New Cars,132000
BMW,530,31645,19,Sedan,4,2021,Gasoline,GCC,New Cars,186000
BMW,330,2615,19,Sedan,4,2022,Hybrid,Import,New Cars,149000
BMW,120,131000,18,Hatchback,4,2019,Gasoline,GCC,New Cars,59000
Nissan,Patrol,57600,21,SUV/Crossover,8,2021,Gasoline,GCC,Apex Platinum,290000
Genesis,GV70,9300,21,SUV/Crossover,4,2022,Gasoline,Import,Wahat Al Sharq,165000
Tesla,S,76186,19,Sedan,None - Electric,2017,Electric,GCC,IQ Auto Used Automobile Trading LLC,169000
Jeep,Grand Cherokee,86717,18,SUV/Crossover,6,2018,Gasoline,GCC,IQ Auto Used Automobile Trading LLC,119000
Infiniti,QX50,62000,17,SUV/Crossover,6,2017,Gasoline,Import,Al Mansoura Used Cars Trading L.L.C,63000
Porsche,Taycan,18000,21,Sedan,None - Electric,2022,Gasoline,Import,S Line Motors LLC,395000
Ford,Mustang,35000,20,Coupe,8,2021,Gasoline,Import,Kandy Cars,118000
Dodge,Charger,110000,20,Sedan,8,2017,Gasoline,Import,Kandy Cars,85000
Dodge,Challenger,79300,20,Coupe,6,2019,Gasoline,Import,Kandy Cars,69000
Ford,Expedition,11000,20,SUV/Crossover,6,2021,Gasoline,GCC,Wahat Al Sharq,185000
BMW,318,62164,17,Sedan,3,2018,Gasoline,GCC,CARS24,86499
Mitsubishi,Pajero,54516,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,79899
Toyota,Corolla,77808,17,Sedan,4,2020,Gasoline,GCC,CARS24,70499
Hyundai,Santa Fe,9300,18,SUV/Crossover,4,2021,Gasoline,Import,Sikandar Motors FZE,100000
Toyota,RAV 4,12750,18,SUV/Crossover,4,2021,Hybrid,Import,Sikandar Motors FZE,85000
Nissan,Kicks,72862,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,66699
Nissan,X-Trail,72000,17,SUV/Crossover,4,2018,Gasoline,GCC,Perfect Automobiles Trading L.L.C,68000
Hyundai,Elantra,69000,15,Sedan,4,2017,Gasoline,GCC,Perfect Automobiles Trading L.L.C,41500
Land Rover,Range Rover Vogue HSE,117704,21,SUV/Crossover,8,2020,Gasoline,Import,ALIF GARAGE LLC,328000
Mercedes-Benz,S 500,5200,20,Sedan,8,2022,Gasoline,Import,ALIF GARAGE LLC,489000
Nissan,Altima,138349,16,Sedan,4,2019,Gasoline,Import,Akil Motors FZE,51000
Audi,A8,74940,18,Sedan,6,2019,Gasoline,GCC,GTA 2,239000
Dodge,RAM,163000,25,Truck,8,2020,Gasoline,Import,Al Jana Motors,115000
Cadillac,Escalade,56100,22,SUV/Crossover,8,2022,Gasoline,Import,Asan Motors,399000
Kia,Telluride,30000,19,SUV/Crossover,6,2020,Gasoline,Import,Asan Motors,92000
Genesis,G80,55800,18,Sedan,6,2018,Gasoline,Import,Asan Motors,69500
Mercedes-Benz,S 560,50000,19,Sedan,8,2020,Gasoline,Import,Asan Motors,235000
Genesis,G70,1580,19,Sedan,6,2023,Gasoline,Import,Asan Motors,139000
Mercedes-Benz,GLA 250,1100,18,SUV/Crossover,4,2022,Gasoline,Import,Asan Motors,125000
Genesis,G90,5000,18,Sedan,6,2023,Gasoline,Import,Oasis Cars,395000
Toyota,Hilux,22695,17,Pick Up Truck,4,2021,Gasoline,GCC,S.K Motors FZCO,87500
Toyota,Hilux,44518,17,Pick Up Truck,4,2022,Gasoline,GCC,S.K Motors FZCO,93500
Hyundai,Palisade,21745,20,SUV/Crossover,6,2020,Gasoline,Import,S.K Motors FZCO,91000
Dodge,Charger,90100,20,Sedan,6,2020,Gasoline,Import,Kandy Cars,78000
Kia,Sportage,61506,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,77199
Toyota,Avanza,108250,16,Van,4,2020,Gasoline,GCC,Vesla Motors L.L.C,39900
Honda,Pilot,32360,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,133999
Mercedes-Benz,GLE 450 AMG,19600,20,SUV/Crossover,6,2021,Gasoline,Import,Wahat Al Sharq,275000
BMW,X4,11400,20,SUV/Crossover,4,2022,Gasoline,Import,Wahat Al Sharq,200000
Mercedes-Benz,A 220,12000,19,Sedan,4,2022,Gasoline,Import,MBA Motors,145000
Nissan,X-Trail,71635,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,77111
Nissan,Micra,59373,17,Hatchback,4,2020,Gasoline,GCC,CARS24,35222
Nissan,Kicks,73585,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,61111
Ford,Eco Sport,89738,17,SUV/Crossover,3,2018,Gasoline,GCC,CARS24,42222
Mercedes-Benz,A 250,57000,18,Sedan,4,2020,Gasoline,GCC,Alba Cars,159999
Nissan,Sentra,113024,16,Sedan,4,2019,Gasoline,GCC,NXT Luxury Showroom,42000
Volkswagen,Passat,60260,18,Sedan,4,2020,Gasoline,GCC,NXT Luxury Showroom,80000
Tesla,model-3,11947,18,Sedan,None - Electric,2023,Electric,GCC,IQ Auto Used Automobile Trading LLC,197000
Mercedes-Benz,V 250,7772,19,Van,4,2022,Gasoline,GCC,IQ Auto Used Automobile Trading LLC,370000
Bentley,Continental GTC,20430,22,Convertible,12,2020,Gasoline,GCC,CV Auto,1100000
Toyota,Highlander,47000,18,SUV/Crossover,4,2018,Gasoline,Import,Khan Motors FZD,75000
Chevrolet,Captiva,64253,17,SUV/Crossover,4,2022,Gasoline,GCC,CARS24,76999
Jeep,Compass,75056,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,80999
Mitsubishi,Pajero,56706,17,SUV/Crossover,6,2020,Gasoline,GCC,CARS24,77699
Land Rover,Range Rover Vogue SE Supercharged,94049,21,SUV/Crossover,8,2019,Gasoline,GCC,Prestige Motors L.L.C,269999
Ford,F 150,34000,18,Pick Up Truck,8,2018,Gasoline,GCC,Dresden Used Cars,275000
Audi,A3,80047,17,Sedan,3,2017,Gasoline,GCC,CARS24,66699
Nissan,X-Trail,80115,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,74999
Audi,Q8,6000,21,SUV/Crossover,6,2022,Gasoline,Import,Story Auto Middle East FZE,280000
Jaguar,F-Pace,1355,22,SUV/Crossover,8,2021,Gasoline,Import,Story Auto Middle East FZE,299000
Ford,Mustang,33000,20,Coupe,4,2019,Gasoline,Import,Kandy Cars,125000
Dodge,Challenger,38689,20,Coupe,8,2019,Gasoline,Import,Kandy Cars,84000
Mercedes-Benz,GLE 350,149500,20,Coupe,6,2017,Gasoline,Import,Wahat Al Sharq,158000
Mercedes-Benz,GLC 300,68523,18,SUV/Crossover,4,2020,Gasoline,Import,Zilion cars,142900
Genesis,G80,14000,19,Sedan,4,2021,Gasoline,Import,Asan Motors,135000
Nissan,Kicks,51000,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,57599
Toyota,Land Cruiser,112000,18,SUV/Crossover,8,2018,Gasoline,GCC,Al Badyah Used Cars,232000
Cadillac,Escalade,139000,18,SUV/Crossover,8,2017,Gasoline,GCC,Al Badyah Used Cars,145000
Ford,Mustang,108974,20,Convertible,8,2018,Gasoline,Import,Kandy Cars,90000
Dodge,Challenger,16200,20,Coupe,8,2022,Gasoline,Import,Kandy Cars,120000
Mercedes-Benz,E 300,24000,20,Sedan,4,2021,Gasoline,GCC,Fawaz Sukar Cars - Sharjah,249000
Toyota,4-Runner,57009,22,SUV/Crossover,6,2018,Gasoline,Import,Khan Motors FZD,75000
Kia,Sportage,53000,16,SUV/Crossover,4,2018,Gasoline,Import,Khan Motors FZD,43000
Mercedes-Benz,S 450,59500,20,Sedan,6,2019,Gasoline,Import,Wahat Al Sharq,275000
Mercedes-Benz,EQS 580,2400,21,Sedan,None - Electric,2022,Electric,GCC,GARGASH ENTERPRISES LLC,570600
Mercedes-Benz,EQS 580,5429,21,Sedan,None - Electric,2022,Electric,GCC,GARGASH ENTERPRISES LLC,560880
Mercedes-Benz,EQS 580,3766,20,Sedan,None - Electric,2022,Electric,GCC,GARGASH ENTERPRISES LLC,590500
Dodge,Challenger,97412,20,Coupe,6,2019,Gasoline,Import,Kandy Cars,59000
Ford,Mustang,75001,18,Coupe,4,2020,Gasoline,Import,Kandy Cars,80000
Dodge,Charger,81901,20,Sedan,6,2019,Gasoline,Import,Kandy Cars,69000
Dodge,Charger,46093,20,Sedan,6,2020,Gasoline,Import,Kandy Cars,85000
Nissan,X-Trail,104370,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,65999
BMW,X2,90683,17,SUV/Crossover,4,2021,Gasoline,GCC,CARS24,118999
Mercedes-Benz,S 560,138000,23,Convertible,8,2018,Gasoline,GCC,Al Jana Motors,209000
Porsche,911 GT3,24245,21,Coupe,6,2019,Gasoline,GCC,CV Auto,809000
Mercedes-Benz,E 200,311,17,Sedan,4,2022,Gasoline,GCC,CV Auto,265000
Nissan,Rogue,99043,17,SUV/Crossover,4,2020,Gasoline,Import,Akil Motors FZE,49000
Nissan,Kicks,51840,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,67599
Mazda,3,64809,17,Sedan,4,2019,Gasoline,GCC,CARS24,58899
Renault,Koleos,63794,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,81899
Hyundai,Elantra,66352,17,Sedan,4,2019,Gasoline,GCC,CARS24,61599
Nissan,X-Trail,136791,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,71899
BMW,X4,95853,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,186899
Renault,Duster,135451,17,SUV/Crossover,4,2017,Gasoline,GCC,CARS24,36099
Kia,Sportage,97432,17,SUV/Crossover,4,2017,Gasoline,GCC,CARS24,78999
Mitsubishi,ASX,99902,17,SUV/Crossover,4,2017,Gasoline,GCC,CARS24,50399
Toyota,RAV 4,86966,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,81999
Toyota,Camry,89260,17,Sedan,4,2019,Gasoline,GCC,CARS24,93599
Renault,Megane,79200,19,Hatchback,4,2020,Gasoline,GCC,RMA Used Cars L.L.C,109000
Nissan,X-Trail,67000,17,SUV/Crossover,4,2018,Gasoline,GCC,Perfect Automobiles Trading L.L.C,69500
Land Rover,Discovery,1072,20,SUV/Crossover,4,2021,Hybrid,Import,Story Auto Middle East FZE,225000
Jeep,Grand Cherokee,91000,20,SUV/Crossover,6,2017,Gasoline,Import,Rukin Baghdad Used Cars Tr LLC,53000
Ford,Eco Sport,23572,15,SUV/Crossover,4,2021,Gasoline,GCC,NXT Luxury Showroom,56900
Dodge,Challenger,49000,20,Coupe,6,2021,Gasoline,Import,Kandy Cars,88000
Toyota,Prado,84000,19,SUV/Crossover,4,2017,Gasoline,GCC,Al Yasmeen Cars,129000
Toyota,Prado,138312,17,SUV/Crossover,6,2018,Gasoline,GCC,CARS24,148111
Kia,Pegas,53028,17,Sedan,4,2020,Gasoline,GCC,CARS24,48299
Volkswagen,Golf,55065,17,Hatchback,4,2021,Gasoline,GCC,CARS24,153999
Mitsubishi,ASX,63480,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,62699
Renault,Koleos,92352,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,62599
Toyota,Rush,85226,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,67111
Mitsubishi,Lancer,121942,17,Sedan,4,2017,Gasoline,GCC,CARS24,37555
Toyota,Yaris,81949,17,Sedan,4,2019,Gasoline,GCC,CARS24,47999
Kia,Sportage,87890,17,SUV/Crossover,4,2022,Gasoline,GCC,CARS24,79111
Nissan,Kicks,106137,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,54111
Renault,Symbol,56413,17,Sedan,4,2017,Gasoline,GCC,CARS24,30899
Jaguar,F-Pace,77926,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,161799
Honda,Accord,79502,17,Sedan,4,2019,Gasoline,GCC,CARS24,86999
Audi,A6,85075,17,Sedan,6,2017,Gasoline,GCC,CARS24,93299
Mazda,CX-9,77730,17,SUV/Crossover,4,2021,Gasoline,GCC,CARS24,119899
Infiniti,Q50,11929,17,Sedan,6,2023,Gasoline,GCC,CARS24,157499
Mazda,6,62267,17,Sedan,4,2020,Gasoline,GCC,CARS24,69111
Mazda,6,41003,17,Sedan,4,2020,Gasoline,GCC,CARS24,69222
Nissan,Sentra,124392,17,Sedan,4,2019,Gasoline,GCC,CARS24,46333
Renault,Duster,120954,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,44111
Nissan,Maxima,58912,17,Sedan,6,2018,Gasoline,GCC,CARS24,79111
Toyota,Rush,77474,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,67999
Toyota,Camry,62173,17,Sedan,6,2019,Gasoline,GCC,CARS24,104111
Toyota,RAV 4,117579,17,SUV/Crossover,4,2017,Gasoline,GCC,CARS24,80099
Mitsubishi,ASX,109649,17,SUV/Crossover,4,2017,Gasoline,GCC,CARS24,54111
BMW,X4,107963,17,SUV/Crossover,4,2019,Gasoline,GCC,CARS24,181111
Toyota,Yaris,137919,17,Sedan,4,2019,Gasoline,GCC,CARS24,45111
Chevrolet,Impala,94498,17,Sedan,6,2019,Gasoline,GCC,CARS24,81111
Nissan,Kicks,56394,17,SUV/Crossover,4,2018,Gasoline,GCC,CARS24,61099
Nissan,Pathfinder,95486,17,SUV/Crossover,6,2018,Gasoline,GCC,CARS24,82111
Mitsubishi,Outlander,79266,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,71399
Toyota,Yaris,123321,17,Hatchback,4,2017,Gasoline,GCC,CARS24,44299
Honda,Civic,71479,17,Sedan,4,2020,Gasoline,GCC,CARS24,69899
Nissan,X-Trail,63113,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,73899
Mazda,CX-5,111963,17,SUV/Crossover,4,2020,Gasoline,GCC,CARS24,84899
